TaskId,Priority,Period,Deadline,ExecutionTime,ResponseTime,Schedulable,Dependencies,Utilization
T1,1,100,0,80,0,20,0,10,0,true,,0,200
T2,2,150,0,120,0,30,0,36,0,true,T1,0,200
T3,3,200,0,160,0,40,0,71,5,true,T2,0,200
T4,4,250,0,200,0,50,0,127,0,true,T3,0,200
T5,5,300,0,240,0,60,0,182,5,true,T4,0,200
T6,6,180,0,150,0,35,0,143,5,true,T1,0,194
T7,7,220,0,180,0,45,0,214,0,false,T2,0,205
T8,8,400,0,320,0,70,0,370,5,false,T5,0,175
T9,9,500,0,400,0,80,0,512,3,false,T6;T7,0,160
T10,10,600,0,480,0,90,0,651,5,false,T8;T9,0,150
